Name,HR,RBI,BB,K,AVG,OBP,SLG
Logan Forsythe,0.023610053,0.090416343,0.10025,0.21575,0.248,0.3325,0.386
Logan Morrison,0.04045223,0.114813971,0.0965,0.19825,0.24275,0.32225,0.43325
Lonnie Chisenhall,0.026827615,0.141225269,0.07125,0.187,0.275,0.33125,0.43975
Lorenzo Cain,0.020110842,0.107446059,0.066,0.1815,0.29875,0.3505,0.43425
Luis Valbuena,0.043208734,0.121469981,0.11725,0.23075,0.233,0.3255,0.441
Manny Machado,0.045993418,0.121656196,0.07375,0.17175,0.27925,0.334,0.48425
Marcell Ozuna,0.037536365,0.133894804,0.07325,0.223,0.2765,0.3305,0.4595
Marcus Semien,0.029468203,0.102269755,0.083,0.23475,0.2445,0.30875,0.4025
Mark Reynolds,0.040809289,0.124698414,0.1055,0.27775,0.24375,0.3275,0.43225
Mark Trumbo,0.046912098,0.13891322,0.07225,0.2475,0.24675,0.302,0.4485
Marwin Gonzalez,0.030385998,0.10982458,0.05875,0.20175,0.27825,0.3285,0.44325
Matt Carpenter,0.031867182,0.110151351,0.1435,0.194,0.264,0.376,0.459
Matt Holliday,0.033967571,0.139177284,0.1105,0.19025,0.257,0.3505,0.436
Matt Joyce,0.031546424,0.111941261,0.1385,0.2245,0.22825,0.33975,0.4025
Matt Kemp,0.042499653,0.150165302,0.06475,0.22825,0.274,0.32,0.47775
Melky Cabrera,0.022632948,0.122761205,0.06375,0.11375,0.28875,0.3335,0.4325
Miguel Cabrera,0.03948295,0.145082765,0.11275,0.1775,0.304,0.38325,0.505
Miguel Montero,0.029193289,0.112849908,0.116,0.2135,0.23075,0.32775,0.3705
Mike Napoli,0.046221631,0.127320357,0.125,0.28875,0.226,0.3285,0.4305
Mike Trout,0.054713581,0.144566583,0.152,0.218,0.30175,0.4155,0.5825
Mookie Betts,0.031792683,0.125074248,0.086,0.123,0.291,0.354,0.479
Neil Walker,0.037070637,0.120076693,0.09175,0.17275,0.27175,0.34475,0.45225
Nelson Cruz,0.062776376,0.160798545,0.09325,0.22775,0.287,0.35925,0.54875
Nick Castellanos,0.030893639,0.129578082,0.06325,0.23975,0.26775,0.315,0.44975
Nick Hundley,0.028176681,0.117972889,0.054,0.23425,0.262,0.301,0.4205
Nick Markakis,0.013759409,0.097807951,0.0985,0.13775,0.279,0.353,0.38575
Nolan Arenado,0.053755401,0.177094533,0.0735,0.14825,0.29425,0.3465,0.55775
Nori Aoki,0.009127723,0.074547704,0.0765,0.09175,0.283,0.3465,0.38025
Paul Goldschmidt,0.043831469,0.154381597,0.15025,0.22025,0.30375,0.4115,0.541
Peter Bourjos,0.017267148,0.068338569,0.06375,0.2565,0.22625,0.287,0.36325
Rajai Davis,0.018929895,0.083983613,0.06125,0.1995,0.256,0.30625,0.39425
Rene Rivera,0.030072058,0.122131623,0.063,0.26425,0.226,0.282,0.36975
Robinson Cano,0.035562296,0.133566564,0.0745,0.133,0.29475,0.351,0.4715
Rougned Odor,0.038480857,0.124835757,0.04225,0.20025,0.24875,0.29025,0.4415
Russell Martin,0.035569388,0.132933527,0.1225,0.22075,0.2455,0.35225,0.4185
Ryan Braun,0.042491049,0.142810739,0.08425,0.1875,0.281,0.34525,0.494
Ryan Zimmerman,0.039119722,0.157878473,0.07875,0.19975,0.2625,0.32,0.46425
Salvador Perez,0.040107186,0.129907647,0.0335,0.174,0.25875,0.2885,0.4405
Scooter Gennett,0.028622206,0.121646227,0.05175,0.1885,0.27775,0.31825,0.4395
Seth Smith,0.030240882,0.103669343,0.11075,0.20025,0.25525,0.34475,0.43275
Shin-Soo Choo,0.031547464,0.101195632,0.1165,0.22575,0.25525,0.35725,0.41475
Starlin Castro,0.027972145,0.120389788,0.0465,0.18075,0.28175,0.31825,0.425
Starling Marte,0.022882802,0.102279082,0.0515,0.20425,0.291,0.347,0.433
Stephen Vogt,0.033125921,0.124542707,0.07525,0.16675,0.256,0.313,0.42575
Steve Pearce,0.045346703,0.118307535,0.0915,0.196,0.26275,0.33875,0.477
Todd Frazier,0.050624218,0.132893037,0.096,0.21875,0.2415,0.32275,0.46225
Travis d'Arnaud,0.033175231,0.114078955,0.073,0.16825,0.25025,0.3105,0.41675
Trevor Plouffe,0.030625706,0.117715944,0.0785,0.2095,0.24,0.3025,0.399
Troy Tulowitzki,0.039718982,0.128743349,0.087,0.17625,0.28075,0.34675,0.466
Tyler Flowers,0.028978804,0.119935423,0.072,0.2875,0.25775,0.33175,0.40425
Victor Martinez,0.034963303,0.135418693,0.0845,0.1165,0.281,0.34625,0.44475
Welington Castillo,0.041717176,0.138776845,0.065,0.25475,0.255,0.30925,0.43875
Wil Myers,0.033971533,0.11616306,0.1025,0.245,0.24425,0.3235,0.418
Wilmer Flores,0.037688828,0.127860189,0.04925,0.13225,0.263,0.30175,0.43575
Wilson Ramos,0.037851243,0.143582053,0.05025,0.1675,0.26575,0.30025,0.425
Xander Bogaerts,0.018965162,0.105678779,0.071,0.185,0.28175,0.33775,0.408
Yadier Molina,0.01754901,0.112832093,0.0605,0.11975,0.283,0.32875,0.4005
Yan Gomes,0.035508326,0.133385089,0.0485,0.2545,0.227,0.2725,0.39725
Yangervis Solarte,0.028056568,0.121330814,0.07475,0.11675,0.26775,0.32775,0.42
Yasiel Puig,0.034845972,0.120526541,0.0915,0.1955,0.26925,0.34325,0.45475
Yasmani Grandal,0.044035712,0.124704826,0.12675,0.25,0.2335,0.33175,0.435
Yoenis Cespedes,0.048983354,0.149896175,0.0695,0.199,0.28075,0.33375,0.5155
Yonder Alonso,0.025911016,0.101181609,0.09475,0.15225,0.26025,0.33175,0.4115
Yunel Escobar,0.013912997,0.07965664,0.076,0.12075,0.2875,0.34675,0.38575
Zack Cozart,0.032063975,0.105877064,0.0765,0.15,0.257,0.31775,0.433
