Player name ,HR,RBI,BB,K,AVG,OBP,SLG
Jhonny Peralta,0.027,0.128,0.079,0.183,0.273,0.33,0.428
Jimmy Rollins,0.022,0.088,0.093,0.113,0.253,0.323,0.387
Joe Mauer,0.016,0.115,0.117,0.129,0.314,0.396,0.44
Joey Votto,0.04,0.134,0.169,0.185,0.319,0.437,0.547
John Buck,0.035,0.126,0.082,0.243,0.231,0.304,0.392
John Jaso,0.018,0.11,0.137,0.138,0.259,0.363,0.39
Jon Jay,0.013,0.087,0.07,0.155,0.295,0.357,0.404
Jonathan Herrera,0.008,0.06,0.079,0.133,0.27,0.33,0.339
Jonathan Lucroy,0.027,0.133,0.067,0.152,0.28,0.33,0.422
Jonny Gomes,0.038,0.139,0.112,0.263,0.246,0.343,0.434
Jose Bautista,0.067,0.161,0.157,0.164,0.266,0.385,0.563
Jose Reyes,0.017,0.083,0.073,0.091,0.301,0.351,0.445
Jose Tabata,0.011,0.068,0.078,0.144,0.273,0.338,0.385
Josh Hamilton,0.051,0.168,0.079,0.211,0.298,0.355,0.545
Josh Willingham,0.045,0.149,0.128,0.239,0.246,0.357,0.457
Juan Pierre,0.002,0.059,0.053,0.067,0.277,0.326,0.33
Justin Morneau,0.032,0.13,0.094,0.171,0.275,0.345,0.451
Justin Smoak,0.035,0.105,0.111,0.22,0.227,0.314,0.386
Justin Upton,0.037,0.117,0.104,0.224,0.276,0.359,0.466
Kelly Johnson,0.035,0.104,0.102,0.251,0.242,0.323,0.421
Kurt Suzuki,0.021,0.105,0.063,0.123,0.237,0.293,0.354
Logan Morrison,0.028,0.11,0.113,0.177,0.251,0.34,0.422
Luke Scott,0.043,0.136,0.095,0.217,0.244,0.32,0.448
Maicer Izturis,0.01,0.081,0.075,0.115,0.255,0.316,0.344
Marco Scutaro,0.011,0.091,0.076,0.079,0.294,0.349,0.396
Mark Ellis,0.013,0.086,0.066,0.141,0.267,0.326,0.361
Mark Reynolds,0.05,0.136,0.124,0.318,0.215,0.321,0.435
Martin Prado,0.02,0.106,0.069,0.1,0.288,0.336,0.425
Matt Holliday,0.04,0.151,0.111,0.163,0.301,0.387,0.511
Matt Joyce,0.037,0.128,0.122,0.204,0.249,0.344,0.451
Matt Kemp,0.046,0.151,0.088,0.244,0.287,0.351,0.492
Matt Wieters,0.035,0.128,0.089,0.177,0.249,0.316,0.42
Melky Cabrera,0.017,0.105,0.067,0.128,0.296,0.342,0.425
Melvin Upton Jr.,0.033,0.106,0.098,0.282,0.228,0.305,0.399
Michael Bourn,0.007,0.075,0.085,0.206,0.274,0.339,0.371
Michael Brantley,0.013,0.098,0.072,0.118,0.271,0.324,0.377
Michael Cuddyer,0.032,0.134,0.084,0.171,0.287,0.347,0.474
Michael Morse,0.047,0.138,0.059,0.23,0.275,0.326,0.48
